pattern,module,nist_ai_rmf_control,nist_pf_control,nist_csf_2_control,hipaa_safeguard,notes
FHE feature extraction — encrypt at source,fhe-feature-extraction,GOVERN-1.1,PR.PO-P1,PR.DS-01,§164.312(a)(2)(iv) Encryption,Raw input encrypted before any computation; plaintext never leaves origin
FHE feature extraction — ciphertext computation,fhe-feature-extraction,MANAGE-2.2,PR.DS-P4,PR.DS-01,§164.312(e)(2)(ii) Encryption in transit,Statistical operations (sum/mean/variance/dot) execute entirely on ciphertext
FHE feature extraction — output minimization,fhe-feature-extraction,MAP-2.3,PR.DS-P5,PR.DS-10,§164.514(b) De-identification,Only derived feature vector decrypted; raw biomedical input never exposed
FHE feature extraction — audit trail,fhe-feature-extraction,GOVERN-1.4,GV.PO-P1,ID.AM-01,§164.312(b) Audit controls,DataMinimizationPipeline.get_audit_log() persists per-request provenance
FHE feature extraction — NIST AML: data-exposure (Sec 4.1),fhe-feature-extraction,MEASURE-2.8,PR.DS-P4,PR.DS-01,,Addresses raw-data exposure during computation (NIST AML 2025 §4.1)
FHE feature extraction — key management,fhe-feature-extraction,MANAGE-1.3,CT.PO-P3,PR.PS-01,§164.312(a)(2)(iv) Encryption,CKKS context and Galois keys scoped to the computation session
FHE benchmark — performance characterisation,fhe-feature-extraction,MEASURE-1.1,ID.IM-P2,ID.RA-05,,Benchmark runner quantifies ciphertext overhead at 128/512/2048 vector sizes
DP training wrapper — gradient clipping,dp-llm-training,MEASURE-2.5,PR.PO-P3,PR.DS-01,§164.312(a)(2)(iv) Encryption,Per-sample gradient clipping bounds sensitivity before noise injection
DP training wrapper — Gaussian noise injection,dp-llm-training,MEASURE-2.10,CT.PO-P3,PR.DS-01,,Calibrated Gaussian noise injected at each step per Mironov RDP accountant
DP training wrapper — RDP epsilon accounting,dp-llm-training,MEASURE-2.5,PR.PO-P4,ID.RA-03,,GaussianMechanism.compute_epsilon tracks (ε,δ) via Renyi DP composition
DP training wrapper — budget enforcement,dp-llm-training,MANAGE-2.4,GV.PO-P1,PR.DS-01,§164.308(a)(1) Risk analysis,DPTrainer.should_stop() halts training when target epsilon is exhausted
DP training wrapper — membership-inference mitigation,dp-llm-training,MEASURE-2.7,PR.PO-P4,PR.DS-01,,Addresses membership inference (NIST AML 2025 §2.3 + §2.5)
